Cycle,Peptide_Count,Membrane_Thickness,Raft_Count,L_fraction,D_fraction,With_Catalysis
443,100,3.0,20,0.0,1.0,True
444,100,3.0,20,0.0,1.0,True
445,100,3.0,20,0.0,1.0,True
446,100,3.0,20,0.0,1.0,True
447,100,3.0,20,0.0,1.0,True
448,100,3.0,20,0.0,1.0,True
449,100,3.0,20,0.0,1.0,True
450,100,3.0,20,0.0,1.0,True
451,100,3.0,20,0.0,1.0,True
452,100,3.0,20,0.0,1.0,True
453,100,3.0,20,0.0,1.0,True
454,100,3.0,20,0.0,1.0,True
455,100,3.0,20,0.0,1.0,True
456,100,3.0,20,0.0,1.0,True
457,100,3.0,20,0.0,1.0,True
458,100,3.0,20,0.0,1.0,True
459,100,3.0,20,0.0,1.0,True
460,100,3.0,20,0.0,1.0,True
461,100,3.0,20,0.0,1.0,True
462,100,3.0,20,0.0,1.0,True
463,100,3.0,20,0.0,1.0,True
464,100,3.0,20,0.0,1.0,True
465,100,3.0,20,0.0,1.0,True
466,100,3.0,20,0.0,1.0,True
467,100,3.0,20,0.0,1.0,True
468,100,3.0,20,0.0,1.0,True
469,100,3.0,20,0.0,1.0,True
470,100,3.0,20,0.0,1.0,True
471,100,3.0,20,0.0,1.0,True
472,100,3.0,20,0.0,1.0,True
473,100,3.0,20,0.0,1.0,True
474,100,3.0,20,0.0,1.0,True
475,100,3.0,20,0.0,1.0,True
476,100,3.0,20,0.0,1.0,True
477,100,3.0,20,0.0,1.0,True
478,100,3.0,20,0.0,1.0,True
479,100,3.0,20,0.0,1.0,True
480,100,3.0,20,0.0,1.0,True
481,100,3.0,20,0.0,1.0,True
482,100,3.0,20,0.0,1.0,True
483,100,3.0,20,0.0,1.0,True
484,100,3.0,20,0.0,1.0,True
485,100,3.0,20,0.0,1.0,True
486,100,3.0,20,0.0,1.0,True
487,100,3.0,20,0.0,1.0,True
488,100,3.0,20,0.0,1.0,True
489,100,3.0,20,0.0,1.0,True
490,100,3.0,20,0.0,1.0,True
491,100,3.0,20,0.0,1.0,True
492,100,3.0,20,0.0,1.0,True
493,100,3.0,20,0.0,1.0,True
494,100,3.0,20,0.0,1.0,True
495,100,3.0,20,0.0,1.0,True
496,100,3.0,20,0.0,1.0,True
497,100,3.0,20,0.0,1.0,True
498,100,3.0,20,0.0,1.0,True
499,100,3.0,20,0.0,1.0,True
